Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,State,BodyType,Doors,Seats,Price,Cylinders,Capacity(Liters),Country
Ssangyong,2022,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,AWD,Diesel,8.7,5595,White / Black,New South Wales,SUV,4,7,51990,4,2.2,Australia
MG,2022,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,Front,Premium,6.7,16,Black / Black,New South Wales,Hatchback,5,5,19990,4,1.5,Australia
BMW,2022,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,Rear,Premium,6.6,8472,Grey / White,New South Wales,Coupe,2,4,108988,4,2.0,Australia
Mercedes-Benz,2011,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,Rear,Premium,11.0,136517,White / Brown,New South Wales,Coupe,2,4,32990,8,5.5,Australia
Renault,2022,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,Front,Unleaded,6.0,1035,Grey / Black,New South Wales,SUV,4,5,34990,4,1.3,Australia
Land,2017,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,AWD,Diesel,5.1,67662,White / Black,New South Wales,SUV,2,4,62280,4,2.0,Australia
Nissan,2000,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,Front,Unleaded,8.0,300539,Red / Grey,New South Wales,Hatchback,5,5,2995,4,1.6,Australia
Toyota,2013,86,Coupe,2013 Toyota 86 GT,USED,Automatic,Rear,Premium,7.1,82012,Black / -,New South Wales,Coupe,2,4,24888,4,2.0,Australia
Honda,2014,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,Front,Hybrid,4.5,38229,Blue / -,New South Wales,Hatchback,5,5,17900,4,1.3,Australia
Toyota,2018,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,Rear,Unleaded,9.8,16324,White / Grey,New South Wales,Commercial,4,2,41999,4,2.7,Australia
Toyota,2016,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,Rear,Diesel,8.0,229829,White / Grey,New South Wales,Commercial,4,2,27995,4,3.0,Australia
Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,Front,Premium,6.2,55676,White / Black,New South Wales,Hatchback,5,5,14999,4,1.4,Australia
BMW,2014,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,4WD,Diesel,5.6,82624,Black / Black,New South Wales,SUV,4,5,24985,4,2.0,Australia
BMW,2011,118D,Hatchback,2011 BMW 118D,USED,Automatic,Rear,Diesel,5.4,95204,Silver / -,New South Wales,Hatchback,5,5,13999,4,2.0,Australia
Ford,2014,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,Front,Unleaded,5.4,76289,White / Black,New South Wales,Hatchback,5,5,12400,3,1.0,Australia
Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,AWD,Unleaded,7.5,219681,Black / Black,New South Wales,SUV,4,7,13999,4,2.4,Australia
Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,Front,Unleaded,6.1,98079,Blue / Black,New South Wales,Hatchback,5,5,11999,4,1.6,Australia
Volkswagen,2023,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,AWD,Diesel,8.4,15,White / Black,New South Wales,Ute / Tray,4,5,83887,6,3.0,Australia
Honda,2018,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,Front,Unleaded,5.8,43274,Silver / Black,New South Wales,Hatchback,5,5,19900,4,1.5,Australia
Subaru,2012,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,AWD,Premium,8.4,105672,Black / -,New South Wales,SUV,4,5,17990,4,2.5,Australia
Mitsubishi,2018,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,Front,Unleaded,4.7,36836,Black / -,New South Wales,Hatchback,5,5,14995,3,1.2,Australia
Toyota,2005,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,Front,Unleaded,9.8,115821,Silver / Grey,New South Wales,Sedan,4,5,8499,4,2.4,Australia
Hyundai,2011,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,Front,Unleaded,7.9,189711,Silver / Black,New South Wales,Sedan,4,5,12990,4,2.4,Australia
Ford,2015,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,Rear,Diesel,8.2,173786,Blue / Black,New South Wales,SUV,4,7,16999,6,2.7,Australia
Nissan,2018,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,Front,Unleaded,6.9,114301,Blue / -,New South Wales,SUV,4,5,21950,4,2.0,Australia
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,Front,Premium,6.6,69197,Black / Black,New South Wales,Hatchback,5,5,24880,4,2.0,Australia
Hyundai,2015,Tucson,SUV,2015 Hyundai Tucson Active (fwd),USED,Automatic,Front,Unleaded,7.9,94377,Grey / -,New South Wales,SUV,4,5,23888,4,2.0,Australia
Ford,2016,Focus,Hatchback,2016 Ford Focus Trend,USED,Automatic,Front,Unleaded,6.2,94965,White / Black,New South Wales,Hatchback,5,5,16999,4,1.5,Australia
Nissan,2019,X-Trail,SUV,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,Front,Unleaded,8.1,99294,Grey / -,New South Wales,SUV,4,7,24490,4,2.5,Australia
Toyota,2021,Corolla,Hatchback,2021 Toyota Corolla ZR Hybrid,USED,Automatic,Front,Hybrid,4.2,13694,Black / -,New South Wales,Hatchback,5,5,44878,4,1.8,Australia
Toyota,2007,Yaris,Sedan,2007 Toyota Yaris YRS,USED,Automatic,Front,Unleaded,6.7,264691,Silver / -,New South Wales,Sedan,4,5,7949,4,1.5,Australia
Toyota,2010,Corolla,Hatchback,2010 Toyota Corolla Conquest,USED,Manual,Front,Unleaded,7.7,238270,Grey / -,New South Wales,Hatchback,5,5,8800,4,1.8,Australia
Jeep,2015,Patriot,SUV,2015 Jeep Patriot Limited (4X4),USED,Automatic,4WD,Unleaded,9.1,140964,Black / -,New South Wales,SUV,4,5,13990,4,2.4,Australia
Toyota,2003,HiAce,Commercial,2003 Toyota HiAce,USED,Automatic,Rear,Unleaded,0.0,266848,White / Grey,New South Wales,Commercial,4,3,9999,4,2.4,Australia
Volvo,2013,S60,Sedan,2013 Volvo S60 T4 Teknik,USED,Automatic,Front,Premium,7.4,141000,Blue / -,New South Wales,Sedan,4,5,14999,4,1.6,Australia
Mitsubishi,2016,Triton,Ute / Tray,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,4WD,Diesel,7.6,240402,White / -,New South Wales,Ute / Tray,4,5,22750,4,2.4,Australia
Mercedes-Benz,2010,E250,Coupe,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,Rear,Premium,7.9,101126,Black / Tobacco,New South Wales,Coupe,2,4,21950,4,1.8,Australia
Mercedes-Benz,2013,A250,Hatchback,2013 Mercedes-Benz A250 Sport,USED,Automatic,Front,Premium,6.6,117254,White / -,New South Wales,Hatchback,5,5,19999,4,2.0,Australia
Toyota,2012,86,Coupe,2012 Toyota 86 GT,USED,Manual,Rear,Premium,7.8,178747,Silver / Black,New South Wales,Coupe,2,4,19900,4,2.0,Australia
Mazda,2022,CX-5,SUV,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,AWD,Unleaded,7.5,10579,Black / Black,New South Wales,SUV,4,5,37990,4,2.5,Australia
Toyota,2010,Corolla,Hatchback,2010 Toyota Corolla Ascent,USED,Automatic,Front,Unleaded,7.7,167101,Red / -,New South Wales,Hatchback,5,5,12990,4,1.8,Australia
Ford,2013,Falcon,Sedan,2013 Ford Falcon XR6,USED,Automatic,Rear,Unleaded,9.9,163161,Blue / Black,New South Wales,Sedan,4,5,16999,6,4.0,Australia
Abarth,2021,595,Hatchback,2021 Abarth 595 Competizione,USED,Manual,Front,Premium,6.0,13200,Black / Black,New South Wales,Hatchback,3,4,36990,4,1.4,Australia
Honda,2014,CR-V,SUV,2014 Honda CR-V VTI-L (4X4),USED,Automatic,4WD,Unleaded,8.7,103211,White / Black Cloth,New South Wales,SUV,4,5,23880,4,2.4,Australia
Toyota,2007,Corolla,Sedan,2007 Toyota Corolla Ultima,USED,Automatic,Front,Unleaded,7.4,177751,Silver / -,New South Wales,Sedan,4,5,10990,4,1.8,Australia
Toyota,2016,HiAce,People Mover,2016 Toyota HiAce Commuter,USED,Automatic,Rear,Unleaded,10.9,119614,Silver / Black,New South Wales,People Mover,3,14,44900,4,2.7,Australia
Hyundai,2012,I30,Hatchback,2012 Hyundai I30 Active,USED,Automatic,Front,Unleaded,6.9,125546,Black / Black Cloth,New South Wales,Hatchback,5,5,15880,4,1.8,Australia
Mazda,2013,6,Sedan,2013 Mazda 6 Touring,USED,Automatic,Front,Unleaded,6.6,163000,Grey / Black,New South Wales,Sedan,4,5,16995,4,2.5,Australia
Toyota,2008,Kluger,SUV,2008 Toyota Kluger KX-S (fwd),USED,Automatic,Front,Unleaded,11.0,132864,Blue / Black,New South Wales,SUV,4,7,19880,6,3.5,Australia
Hyundai,2018,Santa,SUV,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,AWD,Diesel,7.8,71655,White / Black,New South Wales,SUV,4,7,43999,4,2.2,Australia
BMW,2012,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,4WD,Diesel,5.6,109459,Black / -,New South Wales,SUV,4,5,18888,4,2.0,Australia
Holden,2016,Cascada,Convertible,2016 Holden Cascada,USED,Automatic,Front,Premium,7.5,65361,Silver / Black Leather,New South Wales,Convertible,2,4,24995,4,1.6,Australia
Mercedes-Benz,2006,ML320,SUV,2006 Mercedes-Benz ML320 CDI Luxury (4X4),USED,Automatic,4WD,Diesel,9.6,212953,Silver / -,New South Wales,SUV,4,5,9998,6,3.0,Australia
Mitsubishi,2009,Lancer,Sedan,2009 Mitsubishi Lancer ES,USED,Automatic,Front,Unleaded,8.2,163012,Red / -,New South Wales,Sedan,4,5,9990,4,2.0,Australia
Audi,2014,A5,Coupe,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,AWD,Premium,6.7,82119,White / Black,New South Wales,Coupe,2,4,27380,4,2.0,Australia
Kia,2018,RIO,Hatchback,2018 Kia RIO GT-Line,USED,Automatic,Front,Unleaded,5.4,42071,Red / Black,New South Wales,Hatchback,5,5,24999,3,1.0,Australia
Jeep,2015,Cherokee,SUV,2015 Jeep Cherokee Longitude (4X4),USED,Automatic,4WD,Unleaded,10.0,85958,Red / Black Cloth,New South Wales,SUV,4,5,17999,6,3.2,Australia
Volkswagen,2011,Tiguan,SUV,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,AWD,Premium,8.8,118642,Black / -,New South Wales,SUV,4,5,12990,4,2.0,Australia
Mitsubishi,2012,ASX,SUV,2012 Mitsubishi ASX (2WD),USED,Automatic,Front,Unleaded,7.9,187265,Blue / -,New South Wales,SUV,4,5,13990,4,2.0,Australia
BMW,2016,220I,Convertible,2016 BMW 220I M-Sport,USED,Automatic,Rear,Premium,6.4,118120,Grey / Black,New South Wales,Convertible,2,4,28990,4,2.0,Australia
Hyundai,2022,Tucson,SUV,2022 Hyundai Tucson (FWD),USED,Automatic,Front,Unleaded,8.1,19978,White / -,New South Wales,SUV,4,5,36800,4,2.0,Australia
Mazda,2011,3,Sedan,2011 Mazda 3 NEO,USED,Automatic,Front,Unleaded,8.2,86804,Grey / Grey,New South Wales,Sedan,4,5,13999,4,2.0,Australia
Volkswagen,2023,Tiguan,Alto Volkswagen New Cars,2023 Volkswagen Tiguan Allspace 132TSI Life,NEW,Automatic,AWD,Premium,8.9,15,Black / Storm Grey,New South Wales,SUV,4,7,56887,4,2.0,Australia
Hyundai,2014,Imax,Wagon,2014 Hyundai Imax,USED,Automatic,Rear,Diesel,9.0,183550,White / Grey  Cloth,New South Wales,Wagon,4,8,19888,4,2.5,Australia
Toyota,2014,Yaris,Hatchback,2014 Toyota Yaris YR,USED,Automatic,Front,Unleaded,6.3,191748,Green / Black,New South Wales,Hatchback,5,5,8995,4,1.3,Australia
Toyota,2016,Kluger,SUV,2016 Toyota Kluger Grande (4X2),USED,Automatic,Front,Unleaded,10.4,139637,Grey / Black,New South Wales,SUV,4,7,31900,6,3.5,Australia
Mitsubishi,2013,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,Front,Unleaded,7.2,165306,Grey / Black,New South Wales,Sedan,4,5,14995,4,2.0,Australia
Subaru,2016,XV,SUV,2016 Subaru XV 2.0I-L,USED,Automatic,AWD,Unleaded,7.1,104887,Grey / Black,New South Wales,SUV,4,5,22990,4,2.0,Australia
Mini,2017,Cooper,Hatchback,2017 Mini Cooper S 5D Hatch,USED,Automatic,Front,Premium,5.5,72501,Yellow / -,New South Wales,Hatchback,5,5,31990,4,2.0,Australia
Holden,2010,Commodore,Ute / Tray,2010 Holden Commodore SS-V,USED,Manual,Rear,Unleaded,14.5,169220,Black / -,New South Wales,Ute / Tray,2,2,25999,8,6.0,Australia
Hyundai,2015,I20,Hatchback,2015 Hyundai I20 Active,USED,Automatic,Front,Unleaded,5.9,111783,Silver / Grey,New South Wales,Hatchback,5,5,13990,4,1.4,Australia
Mazda,2018,BT-50,Ute / Tray,2018 Mazda BT-50 XTR (4X2),USED,Automatic,Rear,Diesel,9.3,97460,White / Grey,New South Wales,Ute / Tray,4,5,30990,5,3.2,Australia
Mazda,2009,3,Sedan,2009 Mazda 3 Maxx,USED,Automatic,Front,Unleaded,8.2,178389,Black / -,New South Wales,Sedan,4,5,8499,4,2.0,Australia
Hyundai,2011,I20,Hatchback,2011 Hyundai I20 Active,USED,Automatic,Front,Unleaded,6.4,188262,Blue / -,New South Wales,Hatchback,5,5,10995,4,1.4,Australia
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,AWD,Unleaded,11.5,152831,Black / Leather,New South Wales,SUV,4,5,11669,4,2.3,Australia
Jeep,2017,Renegade,SUV,2017 Jeep Renegade Limited,USED,Automatic,Front,Premium,5.9,69218,Grey / Black,New South Wales,SUV,4,5,24950,4,1.4,Australia
Mazda,2013,6,Sedan,2013 Mazda 6 Sport,USED,Automatic,Front,Unleaded,6.6,124093,White / -,New South Wales,Sedan,4,5,16990,4,2.5,Australia
Kia,2013,Grand,Wagon,2013 Kia Grand Carnival SLI,USED,Automatic,Front,Unleaded,10.9,98672,White / -,New South Wales,Wagon,4,8,13995,6,3.5,Australia
Mitsubishi,2015,Lancer,Sedan,2015 Mitsubishi Lancer ES Sport,USED,Automatic,Front,Unleaded,7.2,61481,Grey / Black,New South Wales,Sedan,4,5,17995,4,2.0,Australia
Subaru,2018,Impreza,Hatchback,2018 Subaru Impreza 2.0I (awd),USED,Automatic,AWD,Unleaded,6.6,61177,Grey / -,New South Wales,Hatchback,5,5,22990,4,2.0,Australia
Mazda,2014,3,Hatchback,2014 Mazda 3 NEO,USED,Automatic,Front,Unleaded,8.2,132648,Red / Black  Cloth,New South Wales,Hatchback,5,5,16999,4,2.0,Australia
BMW,2021,X4,SUV,2021 BMW X4 Xdrive20I M Sport,USED,Automatic,AWD,Unleaded,7.3,31367,Grey / -,New South Wales,SUV,5,5,79988,4,2.0,Australia
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,AWD,Unleaded,11.5,174818,Red / -,New South Wales,SUV,4,5,12800,4,2.3,Australia
Audi,2015,A5,Coupe,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,AWD,Premium,6.7,115334,Grey / Black,New South Wales,Coupe,2,4,26880,4,2.0,Australia
BMW,2014,118I,Hatchback,2014 BMW 118I,USED,Automatic,Rear,Premium,5.8,57000,White / Black,New South Wales,Hatchback,5,5,16990,4,1.6,Australia
Audi,2014,Q7,SUV,2014 Audi Q7 4.2 TDI Quattro,USED,Automatic,AWD,Diesel,9.2,199941,Black / -,New South Wales,SUV,4,7,28999,8,4.1,Australia
Suzuki,2015,Celerio,Hatchback,2015 Suzuki Celerio,USED,Automatic,Front,Unleaded,4.8,23316,Blue / -,New South Wales,Hatchback,5,4,13880,3,1.0,Australia
Subaru,2016,Liberty,Sedan,2016 Subaru Liberty 3.6R,USED,Automatic,AWD,Premium,9.9,226127,White / -,New South Wales,Sedan,4,5,17950,6,3.6,Australia
Toyota,2019,C-HR,SUV,2019 Toyota C-HR (2WD),USED,Manual,Front,Premium,5.4,58185,Yellow / -,New South Wales,SUV,4,5,33888,4,1.2,Australia
Subaru,2021,Forester,SUV,2021 Subaru Forester 2.5I (awd),USED,Automatic,AWD,Unleaded,7.4,16136,Silver / -,New South Wales,SUV,4,5,39990,4,2.5,Australia
Mazda,2015,CX-3,SUV,2015 Mazda CX-3 S Touring (awd),USED,Automatic,AWD,Unleaded,6.7,31531,White / -,New South Wales,SUV,4,5,23950,4,2.0,Australia
Jeep,2018,Grand,SUV,2018 Jeep Grand Cherokee Limited (4X4),USED,Automatic,4WD,Diesel,7.5,76472,White / Black,New South Wales,SUV,4,5,41950,6,3.0,Australia
Hyundai,2018,I30,Hatchback,2018 Hyundai I30 Active,USED,Automatic,Front,Unleaded,7.4,62719,Silver / Black,New South Wales,Hatchback,4,5,21999,4,2.0,Australia
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail ST (2WD),USED,Automatic,Front,Unleaded,7.9,52035,Grey / -,New South Wales,SUV,4,5,27990,4,2.5,Australia
Honda,2010,City,Sedan,2010 Honda City VTI,USED,Automatic,Front,Unleaded,6.6,146445,Black / -,New South Wales,Sedan,4,5,8950,4,1.5,Australia
Honda,2020,CR-V,SUV,2020 Honda CR-V VTI-L7 (2WD),USED,Automatic,Front,Unleaded,7.3,35214,Grey / Black,New South Wales,SUV,4,7,37880,4,1.5,Australia
Holden,2014,Cruze,Hatchback,2014 Holden Cruze SRI,USED,Manual,Front,Unleaded,7.4,163000,Red / -,New South Wales,Hatchback,5,5,7950,4,1.6,Australia
Jeep,2013,Grand,SUV,2013 Jeep Grand Cherokee Laredo (4X2),USED,Automatic,Rear,Premium,10.1,69001,Grey / Black,New South Wales,SUV,4,5,24990,6,3.6,Australia
Toyota,2007,RAV4,SUV,2007 Toyota RAV4 Cruiser L (4X4),USED,Automatic,4WD,Unleaded,9.6,106718,Silver / Grey,New South Wales,SUV,4,5,14999,4,2.4,Australia
Holden,2016,Commodore,Sedan,2016 Holden Commodore Evoke,USED,Automatic,Rear,Unleaded,8.3,59689,Red / Black,New South Wales,Sedan,4,5,22999,6,3.0,Australia
Mercedes-Benz,2010,CLC200,Coupe,2010 Mercedes-Benz CLC200 Kompressor Evolution +,USED,Automatic,Rear,Premium,9.0,177834,Silver / -,New South Wales,Coupe,2,4,7999,4,1.8,Australia
Mazda,2013,6,Sedan,2013 Mazda 6 Atenza,USED,Automatic,Front,Unleaded,6.6,105767,White / Black,New South Wales,Sedan,4,5,19999,4,2.5,Australia
Volkswagen,2018,Caddy,Commercial,2018 Volkswagen Caddy Maxi VAN TSI220,USED,Automatic,Front,Premium,6.0,87293,White / -,New South Wales,Commercial,3,2,30999,4,1.4,Australia
Honda,2013,Civic,Sedan,2013 Honda Civic VTI-L,USED,Automatic,Front,Unleaded,6.7,154347,Silver / -,New South Wales,Sedan,4,5,15990,4,1.8,Australia
Jeep,2021,Compass,SUV,2021 Jeep Compass Launch Edition,USED,Automatic,Front,Unleaded,7.9,20827,White / Black,New South Wales,SUV,4,5,32888,4,2.4,Australia
Toyota,2010,Yaris,Hatchback,2010 Toyota Yaris YR,USED,Automatic,Front,Unleaded,6.5,147626,White / -,New South Wales,Hatchback,5,5,10995,4,1.3,Australia
Jeep,2014,Grand,SUV,2014 Jeep Grand Cherokee Overland (4X4),USED,Automatic,4WD,Diesel,7.5,114424,Grey / Black,New South Wales,SUV,4,5,29990,6,3.0,Australia
Mazda,2009,3,Hatchback,2009 Mazda 3 SP25,USED,Manual,Front,Unleaded,8.6,153020,Red / -,New South Wales,Hatchback,5,5,13950,4,2.5,Australia
Ford,2016,Ranger,Ute / Tray,2016 Ford Ranger XLT 3.2 (4X4),USED,Automatic,4WD,Diesel,9.0,98700,Blue / -,New South Wales,Ute / Tray,4,5,36999,5,3.2,Australia
Toyota,2013,86,Coupe,2013 Toyota 86 GTS,USED,Automatic,Rear,Premium,7.1,103706,Orange / Grey,New South Wales,Coupe,2,4,24990,4,2.0,Australia
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf 103 TSI Highline,USED,Automatic,Front,Premium,5.2,126532,Gold / Black,New South Wales,Hatchback,5,5,13990,4,1.4,Australia
Mitsubishi,2013,Lancer,Hatchback,2013 Mitsubishi Lancer LX Sportback,USED,Automatic,Front,Unleaded,7.3,73421,Grey / Black,New South Wales,Hatchback,5,5,16990,4,2.0,Australia
Toyota,2009,Camry,Sedan,2009 Toyota Camry Ateva,USED,Automatic,Front,Unleaded,9.9,155135,White / Black,New South Wales,Sedan,4,5,10995,4,2.4,Australia
Hyundai,2013,I20,Hatchback,2013 Hyundai I20 Active,USED,Automatic,Front,Unleaded,6.4,123330,Grey / Black,New South Wales,Hatchback,5,5,12990,4,1.4,Australia
Mitsubishi,2014,Lancer,Hatchback,2014 Mitsubishi Lancer GSR Sportback,USED,Automatic,Front,Unleaded,8.9,44249,Silver / Black,New South Wales,Hatchback,5,5,18990,4,2.4,Australia
Mazda,2018,2,Hatchback,2018 Mazda 2 Maxx,USED,Automatic,Front,Unleaded,4.9,27100,Silver / Cloth,New South Wales,Hatchback,5,5,23999,4,1.5,Australia
Mazda,2009,3,Hatchback,2009 Mazda 3 Maxx Sport,USED,Automatic,Front,Unleaded,8.2,70661,White / -,New South Wales,Hatchback,5,5,14995,4,2.0,Australia
Mitsubishi,2014,Triton,Ute / Tray,2014 Mitsubishi Triton GLX (4X4),USED,Automatic,4WD,Diesel,9.3,215100,White / -,New South Wales,Ute / Tray,4,5,18995,4,2.5,Australia
Volkswagen,2014,Golf,Hatchback,2014 Volkswagen Golf 90 TSI Comfortline,USED,Automatic,Front,Premium,5.4,155036,Black / Black,New South Wales,Hatchback,5,5,14990,4,1.4,Australia
BMW,2012,M135I,Hatchback,2012 BMW M135I,USED,Automatic,Rear,Premium,7.5,67678,Grey / Black Leather,New South Wales,Hatchback,5,5,29950,6,3.0,Australia
Holden,2015,Commodore,Wagon,2015 Holden Commodore SV6 Storm,USED,Automatic,Rear,Unleaded,9.8,133934,White / Black,New South Wales,Wagon,4,5,22999,6,3.6,Australia
Volkswagen,2008,Golf,Hatchback,2008 Volkswagen Golf GTI,USED,Automatic,Front,Premium,8.0,174915,Silver / -,New South Wales,Hatchback,5,5,14990,4,2.0,Australia
Holden,2014,Cruze,Sedan,2014 Holden Cruze Equipe,USED,Automatic,Front,Unleaded,7.4,117000,Silver / -,New South Wales,Sedan,4,5,7888,4,1.8,Australia
Hyundai,2018,Imax,Wagon,2018 Hyundai Imax Active,USED,Automatic,Rear,Diesel,8.8,190176,Grey / Grey,New South Wales,Wagon,4,8,27990,4,2.5,Australia
Mitsubishi,2013,Triton,Ute / Tray,2013 Mitsubishi Triton GLX (4X4),USED,Manual,4WD,Diesel,9.1,231675,White / -,New South Wales,Ute / Tray,4,5,19800,4,2.5,Australia
BMW,2021,330I,Sedan,2021 BMW 330I M Sport,USED,Automatic,Rear,Premium,6.4,23332,Black / -,New South Wales,Sedan,4,5,67988,4,2.0,Australia
Volkswagen,2018,Golf,Wagon,2018 Volkswagen Golf 110 TSI Comfortline,USED,Automatic,Front,Premium,5.6,130647,White / Black,New South Wales,Wagon,4,5,21880,4,1.4,Australia
Audi,2019,Q3,SUV,2019 Audi Q3 35 Tfsi S Tronic,USED,Automatic,Front,Premium,7.2,47307,White / Black,New South Wales,SUV,4,5,41888,4,1.4,Australia
Subaru,2016,Outback,SUV,2016 Subaru Outback 2.5I Premium,USED,Automatic,AWD,Premium,7.3,74983,Silver / Black,New South Wales,SUV,4,5,29990,4,2.5,Australia
Mazda,2007,6,Hatchback,2007 Mazda 6 Classic Sports,USED,Manual,Front,Premium,8.8,102496,Black / Grey,New South Wales,Hatchback,5,5,7920,4,2.3,Australia
Hyundai,2015,Accent,Hatchback,2015 Hyundai Accent Active,USED,Automatic,Front,Unleaded,6.4,84924,Silver / Black,New South Wales,Hatchback,5,5,14999,4,1.6,Australia
Land,2013,Rover,SUV,2013 Land Rover Discovery 4 3.0 TDV6,USED,Automatic,4WD,Diesel,8.8,159558,White / Black,New South Wales,SUV,4,5,38950,6,3.0,Australia
Ford,2013,Focus,Hatchback,2013 Ford Focus Ambiente,USED,Automatic,Front,Unleaded,6.6,67590,Silver / Black,New South Wales,Hatchback,5,5,12990,4,1.6,Australia
Kia,2017,Sportage,SUV,2017 Kia Sportage GT-Line (awd),USED,Automatic,AWD,Unleaded,8.5,65502,White / Black,New South Wales,SUV,4,5,29990,4,2.4,Australia
Porsche,2010,Cayenne,SUV,2010 Porsche Cayenne S,USED,Automatic,AWD,Premium,10.5,193271,White / Black,New South Wales,SUV,4,5,29990,8,4.8,Australia
Porsche,2016,Cayman,Coupe,2016 Porsche Cayman GT4,USED,Manual,Rear,Premium,10.3,23481,White / Black,New South Wales,Coupe,2,2,214880,6,3.8,Australia
Ford,2007,Territory,SUV,2007 Ford Territory SR (4X4),USED,Automatic,AWD,Unleaded,12.2,173839,White / -,New South Wales,SUV,4,5,8950,6,4.0,Australia
Nissan,2016,Navara,Ute / Tray,2016 Nissan Navara SL (4X4),USED,Automatic,4WD,Diesel,7.0,258936,White / Black,New South Wales,Ute / Tray,4,5,21290,4,2.3,Australia
Toyota,2013,RAV4,SUV,2013 Toyota RAV4 Cruiser (4X4),USED,Automatic,AWD,Diesel,6.5,292134,Grey / Black Leather,New South Wales,SUV,4,5,14995,4,2.2,Australia
Toyota,2008,Hilux,Ute / Tray,2008 Toyota Hilux SR5 (4X4),USED,Automatic,4WD,Diesel,9.5,251000,White / Grey,New South Wales,Ute / Tray,4,5,21290,4,3.0,Australia
Mazda,2014,3,Hatchback,2014 Mazda 3 Maxx,USED,Automatic,Front,Unleaded,5.8,130242,Brown / Black,New South Wales,Hatchback,5,5,16388,4,2.0,Australia
Hyundai,2021,Venue,SUV,2021 Hyundai Venue Elite ((sunroof),USED,Automatic,Front,Unleaded,7.2,35024,White / Grey,New South Wales,SUV,4,5,26990,4,1.6,Australia
BMW,2015,X1,SUV,2015 BMW X1 Xdrive 20D,USED,Automatic,AWD,Diesel,5.1,44145,White / -,New South Wales,SUV,4,5,32000,4,2.0,Australia
BMW,2021,330I,Sedan,2021 BMW 330I M Sport,USED,Automatic,Rear,Premium,6.4,29567,Black / -,New South Wales,Sedan,4,5,67988,4,2.0,Australia
Mazda,2007,6,Hatchback,2007 Mazda 6 Classic Sports,USED,Automatic,Front,Premium,8.9,223898,Black / -,New South Wales,Hatchback,5,5,7600,4,2.3,Australia
Hyundai,2013,Veloster,Hatchback,2013 Hyundai Veloster +,USED,Automatic,Front,Unleaded,6.4,155244,White / -,New South Wales,Hatchback,3,4,17990,4,1.6,Australia
Toyota,2017,Camry,Sedan,2017 Toyota Camry Altise,USED,Automatic,Front,Unleaded,7.9,149988,Grey / -,New South Wales,Sedan,4,5,19950,4,2.5,Australia
Mitsubishi,2011,Lancer,Hatchback,2011 Mitsubishi Lancer ES Sportback,USED,Automatic,Front,Unleaded,7.3,205373,Red / -,New South Wales,Hatchback,5,5,9990,4,2.0,Australia
