Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,State,BodyType,Doors,Seats,Price,Cylinders,Capacity(Liters),Country
Toyota,2020,RAV4,SUV,2020 Toyota RAV4 Cruiser (2WD) Hybrid,USED,Automatic,Front,Hybrid,4.7,15250,Silver / -,New South Wales,SUV,5,5,53885,4,2.5,Australia
Hyundai,2020,Tucson,SUV,2020 Hyundai Tucson Highlander (awd),USED,Automatic,AWD,Diesel,6.4,49292,Grey / Black,New South Wales,SUV,4,5,38990,4,2.0,Australia
Volkswagen,2022,T-ROC,Bayford Volkswagen Fairfield,2022 Volkswagen T-ROC 140TSI R-Line,DEMO,Automatic,AWD,Premium,7.3,2243,Grey / Black,Victoria,SUV,4,5,52488,4,2.0,Australia
Mitsubishi,2016,Triton,Ute / Tray,2016 Mitsubishi Triton GLS (4X4),USED,Automatic,4WD,Diesel,7.6,144179,Blue / -,New South Wales,Ute / Tray,4,5,24913,4,2.4,Australia
Mazda,2017,CX-5,SUV,2017 Mazda CX-5 Akera (4X4),USED,Automatic,AWD,Unleaded,7.4,112905,White / Black Leather,New South Wales,SUV,4,5,29788,4,2.5,Australia
Hyundai,2005,Terracan,SUV,2005 Hyundai Terracan Crdi,USED,Automatic,4WD,Diesel,10.3,282829,Silver / Grey,New South Wales,SUV,4,7,6350,4,2.9,Australia
Toyota,2006,Hilux,Ute / Tray,2006 Toyota Hilux SR5 (4X4),USED,Automatic,4WD,Diesel,9.5,520991,Gold / -,New South Wales,Ute / Tray,4,5,14900,4,3.0,Australia
Toyota,2023,Yaris,Hatchback,2023 Toyota Yaris SX Hybrid,USED,Automatic,Front,Hybrid,3.3,27,White / 3Lfc20,New South Wales,Hatchback,5,5,39990,3,1.5,Australia
Mercedes-Benz,2020,C300,Sedan,2020 Mercedes-Benz C300,USED,Automatic,Rear,Unleaded,7.0,47938,Black / Black,New South Wales,Sedan,4,5,69988,4,2.0,Australia
Hyundai,2010,IX35,SUV,2010 Hyundai IX35 Highlander (awd),USED,Automatic,AWD,Diesel,7.5,165875,Blue / -,New South Wales,SUV,4,5,11513,4,2.0,Australia
Mitsubishi,2021,ASX,SUV,2021 Mitsubishi ASX LS (2WD),USED,Automatic,Front,Unleaded,7.6,63960,Silver / Black,Australian Capital Territory,SUV,4,5,26888,4,2.0,Australia
Mercedes-Benz,2018,E300,Coupe,2018 Mercedes-Benz E300,USED,Automatic,Rear,Premium,7.1,51816,Black / Black,New South Wales,Coupe,2,4,71800,4,2.0,Australia
Volkswagen,2002,Transporter,Commercial,2002 Volkswagen Transporter (LWB),USED,Manual,Front,Unleaded,13.4,265616,Silver / -,New South Wales,Commercial,2,2,39990,5,2.5,Australia
Mazda,2016,BT-50,Ute / Tray,2016 Mazda BT-50 GT (4X4),USED,Automatic,4WD,Diesel,9.2,193346,White / -,New South Wales,Ute / Tray,4,5,27913,5,3.2,Australia
Kia,2022,Stonic,SUV,2022 Kia Stonic S,USED,Automatic,Front,Unleaded,6.7,13017,Blue / -,New South Wales,SUV,4,5,22885,4,1.4,Australia
Toyota,2019,Landcruiser,SUV,2019 Toyota Landcruiser Prado Kakadu (4X4),USED,Automatic,4WD,Diesel,8.0,40418,Grey / 42Lh22,New South Wales,SUV,4,7,79490,4,2.8,Australia
Volkswagen,2014,Golf,Wagon,2014 Volkswagen Golf 90 TSI,USED,Automatic,Front,Premium,5.3,61781,Silver / Black,New South Wales,Wagon,4,5,19880,4,1.4,Australia
Volkswagen,2022,T-ROC,Sydney City Volkswagen New,2022 Volkswagen T-ROC 140TSI R-Line,DEMO,Automatic,AWD,Premium,7.3,4220,Blue / Black,New South Wales,SUV,4,5,51990,4,2.0,Australia
Land,2019,Rover,SUV,2019 Land Rover Range Rover Sport SDV6 SE (183KW),USED,Automatic,AWD,Diesel,7.8,57409,Grey / -,New South Wales,SUV,4,5,97777,6,3.0,Australia
Mitsubishi,2018,Triton,Ute / Tray,2018 Mitsubishi Triton GLS (4X4) Blackline,USED,Manual,4WD,Diesel,7.2,93518,Black / -,New South Wales,Ute / Tray,4,5,32913,4,2.4,Australia
Holden,2011,Commodore,Ute / Tray,2011 Holden Commodore SV6,USED,Manual,Rear,Unleaded,10.2,169360,Blue / -,New South Wales,Ute / Tray,2,2,18990,6,3.6,Australia
Kia,2018,Carnival,Wagon,2018 Kia Carnival S,USED,Automatic,Front,Diesel,7.7,95734,Silver / Black,New South Wales,Wagon,4,8,34990,4,2.2,Australia
Volkswagen,2021,Amarok,Ute / Tray,2021 Volkswagen Amarok TDI580 Highline 4Motion,USED,Automatic,4WD,Diesel,9.5,37041,White / Grey,New South Wales,Ute / Tray,4,5,62990,6,3.0,Australia
Mazda,2023,BT-50,Rockdale Mazda New,2023 Mazda BT-50 XTR (4X4),NEW,Automatic,4WD,Diesel,8.0,7,Red / Black Cloth,New South Wales,Ute / Tray,4,5,64888,4,3.0,Australia
Toyota,1998,Landcruiser,SUV,1998 Toyota Landcruiser (4X4) 11 Seat,USED,Manual,4WD,Diesel,0.0,209031,Red / -,New South Wales,SUV,2,11,45950,6,4.2,Australia
Holden,2006,Rodeo,Ute / Tray,2006 Holden Rodeo LT (4X4),USED,Automatic,4WD,Unleaded,13.5,265010,Black / -,New South Wales,Ute / Tray,4,5,10800,6,3.6,Australia
Toyota,2017,C-HR,SUV,2017 Toyota C-HR Koba (2WD),USED,Automatic,Front,Premium,6.4,176046,Red / -,New South Wales,SUV,4,5,19800,4,1.2,Australia
Volkswagen,2019,Touareg,SUV,2019 Volkswagen Touareg 190TDI,USED,Automatic,AWD,Diesel,7.4,18411,Black / -,New South Wales,SUV,4,5,78990,6,3.0,Australia
Ford,2022,Everest,SUV,2022 Ford Everest Trend (4WD),USED,Automatic,4WD,Diesel,8.5,20401,White / Ebony Leather,New South Wales,SUV,4,7,59990,5,3.2,Australia
Hyundai,2022,I30,Sedan,2022 Hyundai I30 N Premium With Sunroof,USED,Automatic,Front,Premium,8.2,7237,White / Leather,New South Wales,Sedan,4,5,54990,4,2.0,Australia
HSV,2001,Clubsport,Sedan,2001 HSV Clubsport,USED,Automatic,Rear,Premium,16.0,156369,Red / -,New South Wales,Sedan,4,5,27913,8,5.7,Australia
Holden,2015,Barina,Hatchback,2015 Holden Barina CD,USED,Manual,Front,Unleaded,6.8,118994,Blue / Black,New South Wales,Hatchback,5,5,8999,4,1.6,Australia
